,S2,SWE,Green_by_red,Blue_by_red,OTSU_ndwi_ful,OTSU_ndwi_ent,NDWI_RG_tol,NIR_RG_tol,SWIR_RG_tol
1998-07-30-23-29-02,L5,0.4466,1.5114967190650017,2.5821002695599673,closed,closed,0.75,0.2,0.12000000000000001
1998-08-24-23-23-06,L5,1.4656,1.2632281872330684,2.043588341291205,open,open,0.1,0.030000000000000002,0.025
1998-08-31-23-29-21,L5,1.1423,1.3896321076137108,2.230052310928574,open,closed,0.6,0.155,0.13
1998-09-16-23-29-28,L5,0.767,1.5865834885567884,2.0682447802347648,open,open,0.45,0.1,0.1
1998-09-25-23-23-20,L5,1.5084,1.368037997932621,1.7559581819921395,open,open,0.35,0.085,0.09000000000000001
1998-10-11-23-23-20,L5,1.5921,1.5019486418335628,1.9867805739111337,open,open,0.4,0.085,0.07500000000000001
1998-10-27-23-23-23,L5,1.2087,1.4734822895653499,1.8720628742565733,open,open,0.25,0.08,0.1
1998-12-05-23-29-39,L5,0.5996,1.540748324434844,1.8924035241471604,open,open,0.2,0.049999999999999996,0.034999999999999996
1999-02-16-23-23-46,L5,1.1988,1.4454366880111373,2.0447364130657006,open,closed,0.55,0.155,0.034999999999999996
1999-04-12-23-29-25,L5,0.5488,1.4135488011209423,1.8613918136090637,closed,closed,0.6,0.155,0.13
1999-05-30-23-28-48,L5,0.5321,1.4732135406233677,2.0590424513799745,closed,closed,0.7,0.19,0.10500000000000001
1999-08-02-23-28-24,L5,0.4808,1.5275050382238138,2.5858599368460014,closed,closed,0.7,0.18000000000000002,0.10500000000000001
1999-08-18-23-28-14,L5,0.4727,1.5296862039663977,2.2984914411561963,closed,closed,0.75,0.195,0.12000000000000001
1999-09-12-23-21-18,L5,1.0906,1.5014665509426488,1.96878036531087,closed,closed,0.7,0.185,0.085
1999-09-28-23-21-00,L5,1.0942,1.563273755211242,2.214120690616882,closed,closed,0.6,0.17500000000000002,0.125
2003-07-05-23-20-46,L5,1.2658,1.5512632222343627,2.471545442241757,open,closed,0.55,0.13,0.085
2003-07-12-23-27-04,L5,0.5879,1.571797781433799,2.355019222201264,open,open,0.45,0.085,0.085
2003-07-21-23-21-02,L5,1.2559,1.5049858472882471,2.156479591089749,open,closed,0.5,0.13,0.07
2003-07-28-23-27-21,L5,0.5724,1.628306760102442,2.3304634214904087,open,open,0.3,0.085,0.085
2003-09-07-23-21-53,L5,1.1934,1.4799864782749963,2.027804016538523,open,closed,0.55,0.18000000000000002,0.12000000000000001
2003-09-14-23-28-11,L5,0.5492,1.390470127181263,1.7435070560586794,open,closed,0.6,0.155,0.115
2003-09-23-23-22-08,L5,1.1556,1.3293450789659584,1.6286066968335273,closed,closed,0.55,0.22,0.15
2003-10-09-23-22-20,L5,1.1866,1.4621087732680758,1.9162760194386643,closed,closed,0.7,0.215,0.14500000000000002
2003-12-03-23-29-12,L5,0.5605,1.710496849446302,2.245435752119172,closed,closed,0.8,0.2,0.115
2003-12-12-23-23-03,L5,1.1522,1.3970309101851701,1.7917977134135288,closed,closed,0.55,0.21000000000000002,0.125
2003-12-28-23-23-14,L5,1.1534,1.4016639766701318,1.774571291374825,closed,closed,0.6,0.225,0.14
2004-01-20-23-29-30,L5,0.524,1.329950126368962,1.5610906272457175,closed,closed,0.65,0.195,0.115
2004-02-05-23-29-34,L5,0.5742,1.4699161105924217,1.8385429033001925,closed,closed,0.7,0.21000000000000002,0.11
2004-04-25-23-30-40,L5,0.4993,1.4380221497266557,1.8662456874459203,closed,closed,0.65,0.19,0.09000000000000001
2004-05-04-23-24-45,L5,1.2213,1.442921024646619,1.9967207228376531,closed,closed,0.65,0.17500000000000002,0.11
2004-05-20-23-25-13,L5,1.2393,1.539775045004562,2.2131215440526906,closed,closed,0.7,0.195,0.09000000000000001
2004-05-27-23-31-36,L5,0.5247,1.5600454427733552,2.251536287389847,closed,closed,0.75,0.2,0.085
2004-06-05-23-25-42,L5,1.2424,1.5742742377335741,2.381459588940034,closed,closed,0.65,0.19,0.095
2004-06-12-23-32-04,L5,0.4545,1.3848819236717917,1.9797575055994245,closed,closed,0.5,0.155,0.08
2004-06-21-23-26-09,L5,1.2429,1.5882494617603518,2.4359482610674013,closed,closed,0.65,0.185,0.09000000000000001
2004-06-28-23-32-33,L5,0.5357,1.6175122764120649,2.3669729103245776,closed,closed,0.7,0.20500000000000002,0.11
2004-07-14-23-33-00,L5,0.5634,1.6026417899882486,2.43983457499905,closed,closed,0.7,0.195,0.09000000000000001
2004-07-30-23-33-21,L5,0.5679,1.5883672295935929,2.3660619079991725,closed,closed,0.8,0.185,0.085
2004-08-08-23-27-19,L5,1.2447,1.7002080475760757,2.545319916430772,closed,closed,0.7,0.21000000000000002,0.10500000000000001
2004-08-15-23-33-42,L5,0.7389,1.308913331922445,1.7246414042135791,open,closed,0.3,0.11,0.065
2004-08-24-23-27-47,L5,1.2254,1.6784217055194206,2.361292933445879,closed,closed,0.65,0.20500000000000002,0.11
2004-08-31-23-34-08,L5,0.5753,1.5813456551895577,2.1403127670379436,closed,closed,0.8,0.195,0.1
2004-09-09-23-28-13,L5,1.2382,1.6339451738306012,2.1672961974488585,closed,closed,0.75,0.19,0.1
2004-09-16-23-34-34,L5,0.5857,1.5074884234781174,1.951620128717302,closed,closed,0.8,0.19,0.10500000000000001
2004-09-25-23-28-36,L5,1.2402,1.5056451301812455,1.9982652057291912,closed,closed,0.7,0.20500000000000002,0.135
2004-10-02-23-34-56,L5,0.6129,1.7108559707531286,2.251676367771954,closed,closed,0.75,0.17500000000000002,0.1
2004-10-11-23-28-56,L5,1.1781,1.4739142239771768,1.9035719039966021,closed,closed,0.6,0.19,0.12000000000000001
2004-10-27-23-29-16,L5,1.1045,1.3519202658856633,1.8634256685242703,closed,closed,0.65,0.18000000000000002,0.125
2004-11-19-23-35-48,L5,0.3692,1.244631287402244,1.533152039882804,closed,closed,0.55,0.185,0.11
2004-11-28-23-29-52,L5,1.0804,1.412873388062383,1.85988234399856,closed,closed,0.5,0.19,0.115
2004-12-05-23-36-12,L5,0.3708,1.2765582302410254,1.5304967742911033,closed,closed,0.4,0.17,0.09000000000000001
2004-12-14-23-30-11,L5,1.082,1.50996647337251,2.043585554078261,closed,closed,0.65,0.195,0.115
2004-12-30-23-30-26,L5,1.0681,1.4665622837755161,1.8844640694589896,closed,closed,0.55,0.195,0.11
2005-01-06-23-36-42,L5,0.47,1.4535096069614828,1.8531576195907022,closed,closed,0.7,0.20500000000000002,0.115
2005-01-31-23-30-50,L5,1.0737,1.4509472535151553,1.8810695648065527,closed,closed,0.55,0.17500000000000002,0.11
2005-03-04-23-31-21,L5,1.0814,1.3702354761790823,1.8189587378301164,closed,closed,0.45,0.20500000000000002,0.12000000000000001
2005-03-11-23-37-37,L5,0.4867,1.52173076815641,1.956856585589656,closed,closed,0.7,0.19,0.10500000000000001
2005-04-05-23-31-36,L5,1.1459,1.4980923252321523,1.9382515389930826,closed,closed,0.7,0.2,0.095
2005-04-21-23-31-39,L5,1.161,1.4740724658063675,2.11100641878031,closed,closed,0.7,0.2,0.09000000000000001
2005-05-07-23-31-46,L5,1.1763,1.4749568572842406,2.131869375607003,closed,closed,0.65,0.17500000000000002,0.085
2005-05-30-23-38-08,L5,0.4,1.5171248491845204,2.1628739653875906,closed,closed,0.7,0.17500000000000002,0.08
2005-07-17-23-38-28,L5,0.752,1.4555591912318129,2.4382978260291943,closed,closed,0.65,0.125,0.085
2005-07-26-23-32-23,L5,1.3849,1.6156363488100098,2.46782953152001,open,open,0.4,0.09000000000000001,0.08
2005-08-11-23-32-31,L5,1.4792,1.5945658886075225,2.2742220083390756,open,open,0.35,0.09000000000000001,0.095
2005-08-27-23-32-37,L5,1.5991,1.5159962696534792,2.023801111450212,closed,closed,0.6,0.18000000000000002,0.11
2005-09-12-23-32-39,L5,1.2818,1.3860784873607042,1.8054884090890444,open,open,0.35,0.10500000000000001,0.1
2005-09-19-23-38-49,L5,0.5722,1.4957334833303066,1.953562469250046,open,open,0.25,0.049999999999999996,0.025
2005-10-21-23-38-44,L5,0.7592,1.504664231335128,1.8734248216776026,open,open,0.2,0.049999999999999996,0.04
2006-02-10-23-41-08,L5,0.6242,1.4019708864007447,1.7164775104745487,open,open,0.4,0.085,0.06
2006-04-08-23-36-05,L5,1.0845,1.5860312548818998,2.083659752879124,open,open,0.25,0.15,0.04
2006-04-15-23-42-23,L5,0.4266,1.5955076355127384,2.0417030940564356,open,open,0.5,0.125,0.034999999999999996
2006-05-01-23-42-38,L5,0.4077,1.5262049257474177,2.2046668473685456,closed,closed,0.8,0.185,0.07
2006-05-10-23-36-35,L5,1.0933,1.5611279303367644,2.237088422862711,closed,closed,0.65,0.19,0.095
2006-05-26-23-36-47,L5,1.1016,1.6991015921531278,2.5558731068721556,closed,closed,0.75,0.185,0.085
2006-06-11-23-37-02,L5,1.0908,1.6505515135319733,2.473662315525031,closed,closed,0.7,0.185,0.07
2006-06-18-23-43-20,L5,0.4268,1.4438929193602923,2.1104118565518806,open,open,0.15,0.04,0.01
2006-06-27-23-37-17,L5,1.093,1.643536695301626,2.630781893219888,closed,closed,0.75,0.195,0.07500000000000001
2006-07-04-23-43-34,L5,0.3816,1.653355900356287,2.6356954132256982,closed,closed,0.75,0.195,0.065
2006-07-29-23-37-44,L5,1.0928,1.687611712618134,2.6700225931962422,closed,closed,0.7,0.18000000000000002,0.09000000000000001
2006-08-21-23-44-12,L5,0.3863,1.6723246107857799,2.4406626888690353,closed,closed,0.7,0.195,0.11
2006-08-30-23-38-08,L5,1.0692,1.6810779354877574,2.5250182921517754,closed,closed,0.75,0.20500000000000002,0.115
2006-09-22-23-44-36,L5,0.4169,1.4447388684499225,1.9086123337422718,closed,closed,0.6,0.195,0.10500000000000001
2006-10-01-23-38-31,L5,1.0267,1.573421648361791,2.1903462631409183,closed,closed,0.65,0.20500000000000002,0.13
2006-10-08-23-44-46,L5,0.3836,1.4421727370769848,1.8821917882766848,closed,closed,0.6,0.195,0.10500000000000001
2006-11-09-23-45-04,L5,0.3429,1.4761174547259375,1.979076922561789,closed,closed,0.55,0.16,0.08
2006-12-04-23-39-06,L5,0.9081,1.3981318049360367,1.8076963828475516,closed,closed,0.5,0.16,0.115
2007-01-12-23-45-34,L5,0.3251,1.3445467391322048,1.6117058215698998,closed,closed,0.55,0.18000000000000002,0.115
2007-02-13-23-45-40,L5,0.3546,1.5836966611793242,2.045795828189249,closed,closed,0.7,0.19,0.065
2007-02-22-23-39-29,L5,0.9997,1.4758645612323824,1.95218238420092,closed,closed,0.6,0.2,0.12000000000000001
2007-03-01-23-45-39,L5,0.436,1.5880593246888002,2.1439499648868487,closed,closed,0.7,0.18000000000000002,0.1
2007-03-10-23-39-27,L5,1.0379,1.541624907365705,2.0050497927903104,closed,closed,0.7,0.2,0.14
2007-03-26-23-39-24,L5,1.0201,1.627413336285881,2.207122406930594,closed,closed,0.7,0.195,0.10500000000000001
2007-04-11-23-39-20,L5,0.9997,1.5004536476145325,2.0492339538672066,closed,closed,0.65,0.19,0.11
2007-05-04-23-45-20,L5,0.3015,1.4201078015771158,1.795609296576077,closed,closed,0.3,0.115,0.049999999999999996
2007-05-13-23-39-03,L5,0.9493,1.4847556234507844,1.9508219242064395,closed,closed,0.45,0.165,0.07500000000000001
2007-05-20-23-45-09,L5,0.3532,1.5638755793342418,2.1801066468182433,closed,closed,0.75,0.195,0.09000000000000001
2007-05-29-23-38-50,L5,1.0724,1.6119306894788314,2.319500669493309,closed,closed,0.7,0.195,0.095
2007-06-21-23-44-36,L5,0.3751,1.3453790706565,2.2093941895829223,closed,closed,0.7,0.185,0.08
2007-06-30-23-38-16,L5,1.2974,1.4081436405139254,2.2329355120480776,open,open,0.3,0.06,0.055
2007-07-23-23-44-17,L5,1.1002,1.5019144688225532,2.0951687022950187,closed,closed,0.55,0.18000000000000002,0.09000000000000001
2007-08-01-23-38-01,L5,1.2424,1.6823327629486937,2.4143876559466273,open,open,0.25,0.049999999999999996,0.04
2007-09-02-23-37-42,L5,1.5023,1.6349600621188647,2.1834377389288178,open,open,0.15,0.049999999999999996,0.06
2007-09-09-23-43-50,L5,0.7022,1.6490171054262108,2.1215919583809995,open,open,0.1,0.034999999999999996,0.055
2007-09-18-23-37-35,L5,1.483,1.4981986508426262,1.9565544818329597,open,open,0.15,0.06,0.055
2008-02-09-23-35-11,L5,1.235,1.2996810793913198,1.9586766616636633,open,open,0.15,0.045,0.025
2008-03-03-23-40-56,L5,0.5881,1.5709090117228746,2.096572638643477,closed,closed,0.7,0.185,0.10500000000000001
2008-09-27-23-35-21,L5,0.4702,1.4151242429058708,1.7594850184368116,closed,closed,0.55,0.18000000000000002,0.10500000000000001
2008-10-06-23-28-52,L5,1.1709,1.52887127584532,2.013177158946704,closed,closed,0.65,0.20500000000000002,0.12000000000000001
2008-11-23-23-28-05,L5,1.1036,1.2926467681983156,1.5063870676991986,closed,closed,0.4,0.155,0.1
2008-11-30-23-34-29,L5,0.4928,1.3600716897329201,1.581432930106544,closed,closed,0.55,0.17500000000000002,0.1
2009-01-10-23-29-27,L5,1.1997,1.5074061106200525,1.9120035106636541,closed,closed,0.55,0.165,0.12000000000000001
2009-01-17-23-35-49,L5,0.5769,1.5128243456266108,1.8976128199582774,closed,closed,0.6,0.17,0.125
2009-02-18-23-36-39,L5,0.6201,1.4181423824060053,1.7822273194264049,closed,closed,0.6,0.14500000000000002,0.11
2009-02-27-23-30-42,L5,1.3473,1.43503423740924,1.7400728524699975,closed,closed,0.55,0.17500000000000002,0.12000000000000001
2009-03-06-23-37-03,L5,0.8638,1.37113718082315,1.6691079040078003,closed,closed,0.65,0.165,0.115
2009-03-15-23-31-04,L5,1.4726,1.4157690877753373,1.8139011907424205,closed,closed,0.7,0.18000000000000002,0.13
2009-04-07-23-37-45,L5,0.9394,1.4038294040162786,1.760974766816928,closed,closed,0.75,0.17500000000000002,0.10500000000000001
2009-04-16-23-31-44,L5,1.5066,1.4484332689918373,1.8697669981828995,closed,closed,0.65,0.17,0.11
2009-05-02-23-32-02,L5,1.5086,1.508010287074048,1.9981446627447723,closed,closed,0.65,0.16,0.1
2009-08-29-23-40-13,L5,0.8696,1.3330770864996062,1.6761830809124343,closed,closed,0.7,0.17,0.125
2009-09-07-23-34-10,L5,1.5021,1.4896956643826342,1.923023199426205,closed,closed,0.75,0.17500000000000002,0.115
2009-09-23-23-34-22,L5,1.5808,1.4583559957916772,1.8798461717439108,closed,closed,0.7,0.19,0.14
2009-09-30-23-40-38,L5,0.5544,1.3527378716287388,1.8438882671484913,closed,closed,0.2,0.025,0.015
2009-10-16-23-40-48,L5,1.0728,1.4784420201482038,1.8197487323620627,closed,closed,0.7,0.18000000000000002,0.13
2009-11-10-23-34-51,L5,1.584,1.525758084300047,1.9283622087808625,closed,closed,0.65,0.20500000000000002,0.165
2009-11-26-23-34-57,L5,1.5309,1.3732197786565132,1.7390460725688337,closed,closed,0.55,0.195,0.16
2009-12-12-23-35-06,L5,1.6996,1.4524509775100731,1.8020940372606131,closed,closed,0.7,0.2,0.15
2010-01-20-23-41-30,L5,1.1189,1.443585609590406,1.6614837051607754,closed,closed,0.5,0.15,0.13
2010-03-25-23-41-38,L5,0.4536,1.4634651535335719,1.9711754744281937,closed,closed,0.75,0.185,0.13
2010-04-10-23-41-36,L5,0.4547,1.5187535415987132,2.1923141831813595,closed,closed,0.75,0.2,0.11
2010-04-19-23-35-23,L5,1.1907,1.5095629231846563,2.27719446196629,closed,closed,0.65,0.195,0.1
2010-09-10-23-34-44,L5,1.0465,1.5094894856077212,2.2817650693907066,closed,closed,0.8,0.19,0.10500000000000001
2010-10-19-23-40-36,L5,0.317,1.3989090814267267,1.8801892370627178,closed,closed,0.55,0.185,0.10500000000000001
2010-11-20-23-40-30,L5,0.3654,1.455302613548657,1.9698164851386104,closed,closed,0.6,0.21000000000000002,0.13
2010-12-22-23-40-34,L5,0.3424,1.296606361073634,1.6195574616696677,closed,closed,0.55,0.185,0.10500000000000001
2010-12-31-23-34-25,L5,0.986,1.5058098073579758,2.168838756543306,closed,closed,0.6,0.215,0.135
2011-03-12-23-40-36,L5,0.3548,1.5619968475658803,2.117356381709155,closed,closed,0.7,0.22,0.115
2011-03-21-23-34-21,L5,0.9637,1.3214067823030071,1.8562729170575338,open,closed,0.6,0.2,0.07
2011-03-28-23-40-31,L5,0.3764,1.4693035512360466,2.258324565020716,closed,closed,0.7,0.21000000000000002,0.09000000000000001
2011-09-13-23-33-02,L5,1.1524,1.6296446111138088,2.1781187159840525,open,open,0.3,0.07,0.04
2011-09-20-23-39-06,L5,0.567,1.3929581252572274,1.7919843012252605,closed,closed,0.6,0.19,0.10500000000000001
2011-11-07-23-38-22,L5,0.3683,1.3242451305478147,1.6365554739876917,open,open,0.3,0.14,0.085
1999-07-09-23-43-29,L7,0.3976,1.2603549389039213,1.757790797889398,open,open,0.05,0.14,0.085
1999-07-18-23-37-18,L7,0.4702,1.4151591033322646,2.2883071407354296,closed,closed,0.45,0.18000000000000002,0.07
1999-08-03-23-37-25,L7,0.4282,1.6160693269808981,2.7118750857093508,closed,closed,0.6,0.21000000000000002,0.10500000000000001
1999-08-10-23-43-35,L7,1.4242,1.6221546249510976,2.5996174747279657,closed,closed,0.4,0.165,0.11
1999-11-23-23-37-16,L7,0.4118,1.483825196247764,2.478021259565245,closed,closed,0.5,0.23,0.10500000000000001
1999-11-30-23-43-28,L7,1.0303,1.5386623667612467,2.6331025721109906,open,open,0.15,0.15,0.1
2000-01-17-23-43-28,L7,1.3498,1.3064242028967514,1.6450779510583826,closed,closed,0.35,0.16,0.10500000000000001
2000-02-02-23-43-28,L7,1.4321,1.5781907743275219,2.156218882896447,closed,closed,0.65,0.22,0.11
2000-02-27-23-37-09,L7,3.6783,1.323686005366633,1.8088881001741972,closed,closed,0.65,0.25,0.135
2000-04-06-23-43-07,L7,1.3894,1.5611083589165142,2.41117955336491,closed,closed,0.45,0.135,0.045
2000-04-22-23-43-00,L7,1.3799,1.6202243980340105,2.3772391436577327,closed,closed,0.3,0.10500000000000001,0.065
2000-05-08-23-42-50,L7,1.3498,1.725064095399214,2.5673013144123473,closed,closed,0.4,0.16,0.09000000000000001
2000-05-17-23-36-36,L7,0.5371,1.6762347871136467,2.493278540496385,closed,closed,0.7,0.22,0.065
2000-06-02-23-36-24,L7,0.4633,1.7715091170646575,2.730049641162589,open,open,0.7,0.255,0.030000000000000002
2000-06-25-23-42-24,L7,1.4479,1.5791289453676618,2.3650710746591788,closed,open,0.25,0.14,0.07
2000-07-11-23-42-10,L7,1.4301,1.690524221730287,2.5510870397685195,closed,closed,0.25,0.12000000000000001,0.055
2000-07-20-23-35-52,L7,0.594,1.6905912794918216,2.573684588099498,closed,closed,0.85,0.165,0.065
2000-07-27-23-41-53,L7,1.3817,1.7018519707353137,2.6167559679620376,closed,closed,0.35,0.07500000000000001,0.055
2000-08-28-23-41-37,L7,1.3489,1.649503349086582,2.328661729326139,closed,closed,0.45,0.10500000000000001,0.049999999999999996
2000-09-13-23-41-19,L7,1.4278,1.542434553157397,2.076863292256989,closed,closed,0.95,0.17,0.1
2000-09-29-23-41-08,L7,1.3851,1.625148996643435,2.206992823712743,closed,closed,0.4,0.07500000000000001,0.065
2000-10-15-23-40-49,L7,1.4128,1.5520936022026806,2.0268725428997896,closed,closed,0.3,0.15,0.06
2000-10-24-23-34-46,L7,0.4376,1.406813867228911,1.8517266428464212,closed,closed,0.75,0.225,0.135
2000-11-16-23-41-02,L7,1.341,1.256265260493836,1.9525629696097957,closed,closed,0.6,0.115,0.1
2000-11-25-23-34-52,L7,0.4752,1.473152209820571,2.2542227020045074,closed,closed,0.65,0.165,0.14
2000-12-02-23-41-02,L7,1.2726,1.3720562468773938,1.794107156976445,closed,closed,0.7,0.20500000000000002,0.13
2000-12-11-23-34-53,L7,0.3505,1.50168216333773,2.0258516416933543,open,open,0.4,0.11,0.030000000000000002
2001-01-03-23-41-05,L7,1.3939,1.4456649705858664,1.88986948008939,closed,closed,0.45,0.155,0.15
2001-03-01-23-34-50,L7,0.482,1.5130763430038032,2.1275939550353162,closed,closed,0.75,0.225,0.14
2001-03-17-23-34-45,L7,0.6284,1.5555627172308515,2.1190053315873594,closed,closed,0.9,0.24000000000000002,0.14500000000000002
2001-04-18-23-34-37,L7,0.4439,1.619194893583704,2.3027379791412304,closed,closed,0.8,0.22,0.12000000000000001
2001-04-25-23-40-45,L7,1.3633,1.6317202440890377,2.241451787338552,closed,closed,0.35,0.085,0.10500000000000001
2001-05-11-23-40-38,L7,1.4348,1.5329301402115256,2.187405837822742,closed,closed,0.3,0.095,0.085
2001-05-27-23-40-29,L7,1.3219,1.5459377059115402,2.302895247139003,closed,closed,0.35,0.115,0.08
2001-06-05-23-34-09,L7,0.6224,1.580226300634228,2.3332080539930686,closed,closed,0.8,0.2,0.085
2001-06-21-23-33-58,L7,0.6534,1.5959056502769107,2.486086387118727,closed,closed,0.75,0.21000000000000002,0.065
2001-06-28-23-40-02,L7,1.5255,1.3932504850796075,1.9319528414816547,closed,closed,0.3,0.115,0.085
2001-07-14-23-40-02,L7,1.4071,1.7510200362846415,2.673692772021116,closed,closed,0.3,0.10500000000000001,0.065
2001-07-23-23-33-47,L7,3.6724,1.0128872558559578,1.200558986681988,open,closed,0.15,0.09000000000000001,0.034999999999999996
2001-07-30-23-39-51,L7,1.366,1.785390231254805,2.6828497305291066,closed,closed,0.35,0.065,0.055
2001-08-08-23-33-29,L7,0.418,1.6623578847137066,2.4977447590252444,closed,closed,0.75,0.20500000000000002,0.08
2001-08-24-23-33-17,L7,0.2801,1.6482906071641739,2.401444576820239,closed,closed,0.6,0.23,0.1
2001-10-02-23-38-57,L7,1.3059,1.5201812629521931,2.3340637445167185,closed,closed,0.4,0.135,0.10500000000000001
2001-10-11-23-32-39,L7,0.3215,1.3610918083412509,1.9143155788451536,closed,closed,0.55,0.215,0.135
2001-10-27-23-32-49,L7,0.2279,1.2309761527911451,1.599023811283738,closed,closed,0.35,0.20500000000000002,0.125
2001-11-28-23-33-04,L7,0.2662,1.4042333445595048,1.8734556367126733,closed,closed,0.65,0.245,0.135
2001-12-30-23-33-06,L7,0.3143,1.3660069016452647,1.8120009683731941,closed,closed,0.55,0.23500000000000001,0.125
2002-01-06-23-39-25,L7,1.3669,1.307708485658265,1.7767313937950415,closed,closed,0.35,0.045,0.025
2002-03-20-23-33-17,L7,0.8667,1.4877283640774663,2.019588354507184,open,closed,0.6,0.125,0.045
2002-04-05-23-33-18,L7,0.779,1.6074284120026487,2.2411406842799213,closed,closed,0.7,0.155,0.055
2002-04-12-23-39-30,L7,1.5304,1.3860799896263194,1.8450032174921,closed,closed,0.6,0.085,0.06
2002-05-07-23-33-20,L7,0.8406,1.5131769732106204,2.15730673723109,closed,closed,0.7,0.195,0.034999999999999996
2002-05-30-23-39-18,L7,1.499,1.7032302995001218,2.5865876605422087,closed,closed,0.3,0.049999999999999996,0.030000000000000002
2002-07-01-23-39-07,L7,1.5462,1.7587381628609295,2.631615968118518,closed,closed,0.55,0.155,0.04
2002-07-10-23-32-54,L7,0.671,1.7049117933965219,2.600154407818254,closed,closed,0.75,0.17,0.045
2002-08-11-23-32-41,L7,0.5758,1.519475639421978,2.1685738096558778,open,closed,0.6,0.125,0.030000000000000002
2002-08-18-23-38-50,L7,1.5642,1.5245699748055572,2.149054707733192,closed,closed,0.4,0.14500000000000002,0.095
2002-08-27-23-32-29,L7,0.9376,1.4717718335369834,2.088124919421186,closed,closed,0.8,0.225,0.1
2002-09-12-23-32-24,L7,0.6946,1.5347912010921503,2.1171562530219292,closed,closed,0.8,0.22,0.10500000000000001
2002-09-19-23-38-28,L7,1.3473,1.5508458720588194,2.0626286726804643,closed,closed,0.5,0.06,0.034999999999999996
2002-09-28-23-32-15,L7,0.7144,1.3791996910376654,1.8805988962758702,closed,closed,0.75,0.23,0.085
2002-10-14-23-32-13,L7,0.9691,1.4851192138905172,1.945220626473314,closed,closed,0.85,0.22,0.13
2002-10-30-23-32-18,L7,0.904,1.4537860651442434,1.8966539448443167,closed,closed,0.75,0.215,0.17500000000000002
2002-11-06-23-38-34,L7,1.3327,1.4657176407540695,1.8835910976960117,closed,closed,0.3,0.06,0.07
2002-12-01-23-32-46,L7,0.5202,1.5865811159878307,2.1032515027258474,closed,closed,0.65,0.165,0.07
2003-01-25-23-39-11,L7,3.3579,1.1706818301712414,1.3892082737891078,closed,closed,0.3,0.08,0.09000000000000001
2003-02-26-23-39-21,L7,1.4074,1.504205094970987,2.0361139622933977,closed,closed,0.5,0.12000000000000001,0.085
2003-03-23-23-33-09,L7,0.5314,1.6412365273242508,2.2974361484044534,closed,closed,0.75,0.19,0.125
2003-04-08-23-33-16,L7,0.6039,1.447798749677483,1.9916735505415706,closed,closed,0.65,0.19,0.115
2003-04-15-23-39-27,L7,1.3349,1.554646345583046,2.2740259780281975,closed,closed,0.55,0.07500000000000001,0.049999999999999996
2003-04-24-23-33-15,L7,2.3839,1.434745794214079,2.201981161668188,open,open,0.05,0.06,0.07500000000000001
2003-05-01-23-39-27,L7,1.2411,1.448248531499643,2.1858213398978554,open,open,0.1,0.025,0.015
2003-05-10-23-33-15,L7,0.5956,1.59780699250455,2.3517839385335604,closed,closed,0.75,0.22,0.10500000000000001
2013-04-11-23-46-35,L8,1.3151,1.5247693799099868,2.1026423428915293,open,open,0.3,0.055,0.045
2013-04-18-23-52-30,L8,0.4826,1.3312204249611799,1.7319562573405387,open,open,0.45,0.13,0.07500000000000001
2013-05-20-23-52-43,L8,0.5224,1.6151355811837331,2.327286946981652,closed,closed,0.8,0.20500000000000002,0.09000000000000001
2013-06-14-23-46-29,L8,1.3437,1.5778728943926421,2.3394475255007925,open,closed,0.3,0.12000000000000001,0.07
2013-07-07-23-52-41,L8,0.6003,1.575620381309868,2.3724443004242555,open,open,0.25,0.04,0.030000000000000002
2013-07-16-23-46-29,L8,1.4414,1.6664527782947316,2.500311824228022,closed,closed,0.65,0.125,0.085
2013-07-23-23-52-39,L8,0.4833,1.67435697208369,2.4399175154633888,open,open,0.3,0.12000000000000001,0.034999999999999996
2013-08-01-23-46-31,L8,1.4204,1.5253757326608282,2.1569851358802183,closed,closed,0.65,0.135,0.1
2013-08-17-23-46-32,L8,1.334,1.5412671740498005,2.146666683173425,open,open,0.55,0.12000000000000001,0.045
2013-08-24-23-52-44,L8,0.5555,1.5772978324666442,2.116924449980893,open,open,0.15,0.025,0.02
2013-09-02-23-46-33,L8,1.3464,1.4323191754037246,1.9402475937422792,open,closed,0.5,0.14,0.1
2013-09-09-23-52-42,L8,0.5036,1.3635020023380373,1.7484911400208396,open,open,0.1,0.025,0.015
2013-09-18-23-46-27,L8,1.3048,1.471876797975757,2.0508352698283434,open,open,0.15,0.025,0.01
2013-09-25-23-52-34,L8,0.5861,1.3542966561002725,1.7130975832978852,open,open,0.15,0.034999999999999996,0.02
2013-10-11-23-52-34,L8,0.6001,1.5124758799880191,1.928561296832502,open,open,0.5,0.085,0.06
2013-11-05-23-46-15,L8,1.2384,1.5316248415762088,2.0113950050535148,open,open,0.2,0.015,0.01
2013-11-12-23-52-25,L8,0.6385,1.2429414323006271,1.924774433454706,closed,closed,0.75,0.14,0.07500000000000001
2013-12-07-23-46-07,L8,1.2254,1.3912106573460705,1.8037315298519252,open,open,0.15,0.06,0.015
2014-01-15-23-51-50,L8,0.5204,1.4346080956628235,1.8133455955334952,open,open,0.2,0.065,0.034999999999999996
2014-01-24-23-45-38,L8,1.3345,1.4303261675508896,1.8707646021173243,closed,closed,0.6,0.14,0.14
2014-03-13-23-45-02,L8,1.3293,1.4204213098457654,1.8628318811491764,open,closed,0.55,0.135,0.085
